"reference_no","samp_country","aff_country"
53706,"Myanmar (Burma)","China"
53725,"Mongolia","Russia"
53702,"Kazakhstan","Russia"
55604,"Canada","Canada"
66458,"China","China"
66458,"China","USA"
55191,"UK","UK"
54089,"Morocco","USA"
54089,"Morocco","UK"
54536,"Brazil","Brazil"
54536,"Brazil","Argentina"
59657,"Brazil","Brazil"
65807,"France","France"
61560,"Turkey","France"
61560,"Turkey","Turkey"
66428,"Bolivia","Brazil"
57419,"Brazil","Brazil"
53909,"Brazil","France"
53862,"France","France"
52989,"France","France"
55600,"China","France"
55600,"China","China"
59178,"UK","UK"
57384,"Jordan","Turkey"
57384,"Jordan","Jordan"
56346,"Hungary","Hungary"
56346,"Hungary","Germany"
65811,"Italy","Italy"
54911,"South Korea","South Korea"
54911,"South Korea","UK"
57201,"China","Czech Republic"
57201,"China","China"
58331,"Spain","Spain"
58331,"Spain","Portugal"
58331,"Spain","France"
59669,"UK","Portugal"
59669,"UK","Spain"
54583,"Spain","Portugal"
54583,"Spain","Spain"
55829,"Spain","Spain"
55829,"Spain","USA"
53709,"USA","Spain"
53709,"USA","USA"
55565,"UK","Ukraine"
55565,"UK","Russia"
53728,"France","France"
53728,"France","USA"
60494,"Iran","Iran"
60494,"Iran","Spain"
60494,"Iran","UK"
55480,"France","Czech Republic"
55480,"France","Brazil"
55480,"France","France"
53482,"Hungary","Germany"
53482,"Hungary","Hungary"
54669,"France","France"
70760,"Argentina","Argentina"
70760,"Argentina","USA"
55462,"Brazil","Brazil"
60849,"France","France"
55035,"Mongolia","USA"
63833,"Portugal","Germany"
63833,"Portugal","Netherlands"
63833,"Portugal","USA"
53703,"Myanmar (Burma)","Russia"
53703,"Myanmar (Burma)","China"
53703,"Myanmar (Burma)","Germany"
53919,"China","China"
53919,"China","Poland"
72170,"Brazil","Brazil"
65127,"Israel","Germany"
65127,"Israel","Israel"
67940,"Niger","South Africa"
67940,"Niger","USA"
67940,"Niger","France"
64967,"Brazil","Argentina"
64967,"Brazil","Brazil"
59368,"Germany","Germany"
54125,"Myanmar (Burma)","Poland"
53724,"Myanmar (Burma)","Poland"
53724,"Myanmar (Burma)","UK"
53700,"Spain","Poland"
53700,"Spain","Germany"
55748,"China","China"
59870,"Japan","Japan"
55111,"Mongolia","Japan"
55111,"Mongolia","Mongolia"
55476,"Spain","Spain"
70253,"India","India"
60885,"Greece","Greece"
60885,"Greece","Italy"
60885,"Greece","Spain"
54526,"China","China"
53726,"China","China"
53726,"China","Russia"
53726,"China","UK"
53983,"China","China"
53983,"China","Russia"
53983,"China","UK"
57309,"Germany","Germany"
57309,"Germany","USA"
57309,"Germany","China"
57309,"Germany","Austria"
55155,"China","China"
55155,"China","Russia"
55155,"China","Germany"
55155,"China","UK"
53695,"China","China"
54429,"China","China"
54429,"China","Russia"
53614,"China","China"
53614,"China","Australia"
53614,"China","New Zealand"
53710,"China","China"
53710,"China","Australia"
53713,"China","China"
53713,"China","Australia"
67799,"Sweden","Spain"
67799,"Sweden","USA"
67799,"Sweden","France"
67799,"Sweden","Turkey"
67799,"Sweden","Sweden"
67799,"Sweden","Czech Republic"
72112,"Mexico","Germany"
72112,"Mexico","UK"
55822,"Mexico","Germany"
55822,"Mexico","Switzerland"
53727,"China","China"
53727,"China","Russia"
53727,"China","UK"
57660,"China","China"
57660,"China","Sweden"
53692,"China","China"
53692,"China","UK"
53692,"China","Russia"
53692,"China","Germany"
53697,"Mongolia","Poland"
63840,"Mexico","Italy"
51807,"Italy","Italy"
50989,"China","USA"
50989,"China","China"
54738,"USA","USA"
53813,"Kazakhstan","Russia"
53813,"Kazakhstan","USA"
53813,"Kazakhstan","UK"
53813,"Kazakhstan","Hungary"
52173,"Tanzania","UK"
52173,"Tanzania","USA"
50621,"Australia","Australia"
50621,"Australia","Denmark"
50621,"Australia","Sweden"
50621,"Australia","UK"
66565,"Georgia","Spain"
66565,"Georgia","Georgia"
66565,"Georgia","Italy"
70777,"Belgium","Spain"
70777,"Belgium","Italy"
70777,"Belgium","Belgium"
70777,"Belgium","Ireland"
54276,"Italy","Italy"
54276,"Italy","USA"
53771,"USA","China"
53771,"USA","USA"
43356,"New Zealand","USA"
43356,"New Zealand","New Zealand"
50288,"Romania","Romania"
50288,"Romania","Belgium"
54818,"Spain","France"
54818,"Spain","Spain"
58194,"Argentina","Argentina"
58194,"Argentina","USA"
56621,"Mexico","Mexico"
57931,"UK","UK"
52465,"Canada","Canada"
52465,"Canada","UK"
67795,"Argentina","Argentina"
67795,"Argentina","USA"
51110,"France","UK"
51110,"France","Germany"
51110,"France","USA"
52418,"Spain","Spain"
64358,"Italy","Italy"
64358,"Italy","Russia"
64358,"Italy","Netherlands"
51414,"Timor-Leste","Australia"
51414,"Timor-Leste","East Timor"
51414,"Timor-Leste","USA"
51414,"Timor-Leste","Germany"
52493,"Croatia","Germany"
52493,"Croatia","Croatia"
49906,"Lebanon","Poland"
49906,"Lebanon","Lebanon"
59189,"Canada","UK"
63882,"Spain","Spain"
63882,"Spain","Italy"
63882,"Spain","Ecuador"
56983,"Iran","Iran"
56983,"Iran","Germany"
52074,"France","France"
52074,"France","Czech Republic"
52074,"France","Russia"
51454,"Brazil","Brazil"
51720,"Chile","Chile"
56801,"Argentina","Argentina"
56801,"Argentina","Australia"
53172,"India","USA"
49685,"Spain","Spain"
49685,"Spain","USA"
51913,"Argentina","Argentina"
53639,"France","France"
53639,"France","Switzerland"
55586,"Argentina","Argentina"
55586,"Argentina","UK"
52417,"Mexico","Mexico"
52417,"Mexico","USA"
54217,"Canada","Canada"
54217,"Canada","USA"
54217,"Canada","Germany"
54957,"Aruba","Argentina"
50418,"USA","USA"
50418,"USA","New Zealand"
54398,"Pakistan","France"
54398,"Pakistan","Pakistan"
67484,"Italy","Italy"
50431,"USA","UK"
50431,"USA","Japan"
50431,"USA","USA"
53745,"Uzbekistan","USA"
53745,"Uzbekistan","Russia"
51122,"Brazil","Brazil"
69853,"Greece","Greece"
69853,"Greece","Netherlands"
51642,"Canada","Canada"
51642,"Canada","Germany"
57535,"USA","USA"
62627,"Argentina","Argentina"
54288,"Turkey","Italy"
54288,"Turkey","USA"
54288,"Turkey","Turkey"
53638,"France","France"
53638,"France","Switzerland"
53638,"France","Thailand"
52468,"China","China"
52468,"China","Brazil"
